koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,status
9.48803557,0,0.146,2.9575,615.8,0.022344,3.20796,2.26,0.0853,89.66,793,93.59,24.81,5455,4.467,0.14,0.927,0.919,CONFIRMED
54.4183827,0,0.586,4.507,874.8,0.027954,3.02368,2.83,0.2734,89.57,443,9.11,77.9,5455,4.467,0.14,0.927,0.919,CONFIRMED
19.89913995,0,0.969,1.7822,10829,0.154046,7.29555,14.6,0.1419,88.96,638,39.3,53.5,5853,4.544,-0.18,0.868,0.961,CANDIDATE
1.736952453,0,1.276,2.40641,8079.2,0.387394,0.2208,33.46,0.0267,67.09,1395,891.96,3.278,5805,4.564,-0.52,0.791,0.836,FALSE POSITIVE
2.525591777,0,0.701,1.6545,603.3,0.024064,1.98635,2.75,0.0374,85.41,1406,926.16,8.75,6031,4.438,0.07,1.046,1.095,CONFIRMED
11.09432054,0,0.538,4.5945,1517.5,0.036779,0.67324,3.9,0.0992,88.11,835,114.81,16.36,6046,4.486,-0.08,0.972,1.053,CONFIRMED
4.13443512,0,0.762,3.1402,686,0.026133,0.37377,2.77,0.0514,83.72,1160,427.65,6.96,6046,4.486,-0.08,0.972,1.053,CONFIRMED
2.56658897,0,0.755,2.429,226.5,0.014983,0.48909,1.59,0.0374,82.17,1360,807.74,5.54,6046,4.486,-0.08,0.972,1.053,CONFIRMED
7.36178958,0,1.169,5.022,233.7,0.183387,0.00485,39.21,0.082,60.92,1342,767.22,2.4,6227,3.986,0,1.958,1.358,FALSE POSITIVE
16.06864674,0,0.052,3.5347,4914.3,0.062161,3.6659,5.76,0.1158,89.92,600,30.75,36.85,5031,4.485,0.16,0.848,0.801,CONFIRMED
2.470613377,0,0.818,1.74319,14231,0.123871,1.83538,13.04,0.0354,84.41,1339,761.46,8.3977,5820,4.457,-0.06,0.964,0.971,CONFIRMED
2.204735417,0,0.224,3.88864,6674.7,0.075522,0.37936,16.1,0.0376,87.21,2048,4148.92,4.602,6440,4.019,0.14,1.952,1.449,CONFIRMED
3.522498429,0,0.631,3.19843,9145.7,0.092086,0.65374,14.59,0.0473,85.2,1521,1264.67,7.541,6225,4.169,-0.04,1.451,1.132,CONFIRMED
3.709214104,0,0.051,2.6302,131.1,0.010424,1.77451,1.16,0.0465,89.73,1206,500.46,10.888,5833,4.407,-0.04,1.022,0.974,CONFIRMED
11.521446064,0,2.483,3.6399,17984,1.625358,1.27376,150.51,0.0978,83.13,753,75.88,20.75,5795,4.554,-0.2,0.848,0.938,FALSE POSITIVE
19.40393776,0,0.804,12.2155,8918.7,0.096729,0.03785,7.18,0.123,84.93,523,17.69,9.099,5043,4.591,-0.54,0.68,0.657,FALSE POSITIVE
19.221388942,0,1.065,4.79843,74284,0.476633,1.57359,49.29,0.1417,88.05,698,55.97,31.323,6117,4.496,-0.22,0.947,1.025,FALSE POSITIVE
16.46983774,0,0.292,9.4378,10479,0.092509,0.19353,7.94,0.1147,88.81,595,29.61,14.05,5152,4.517,-0.2,0.786,0.741,FALSE POSITIVE
9.27358173,0,0.387,3.2875,1288.3,0.032563,1.93557,2.47,0.0759,88.93,649,41.85,20.65,4856,4.583,-0.3,0.696,0.676,CONFIRMED
6.02930329,0,0.258,1.5821,1912.7,0.038838,13.09803,2.85,0.0585,89.5,678,50.04,29.31,4537,4.648,0.21,0.672,0.761,CONFIRMED
2.696370652,0,0.044,3.6129,397.9,0.017673,0.51471,1.58,0.0349,89.56,1066,305.34,5.827,4989,4.504,0.1,0.819,0.781,FALSE POSITIVE
5.349553819,0,0.092,3.0278,831,0.025706,1.73782,2.55,0.0563,89.62,919,168.99,13.8015,5185,4.44,0.16,0.91,0.831,CONFIRMED
3.94105221,0,0.226,2.5984,363.3,0.017105,1.85636,1.7,0.046,88.88,1018,253.15,11.51,5185,4.44,0.16,0.91,0.831,CONFIRMED
8.10904807,0,0.025,3.596,217.4,0.013127,1.5302,1.3,0.0743,89.92,800,97.03,17.46,5185,4.44,0.16,0.91,0.831,CONFIRMED
386.6030528,0,0.9765,6.8057,24927,0.240528,4.63335,41.5,1.0719,89.95,297,1.84,332,5543,4.081,0.44,1.58,1.103,FALSE POSITIVE
21.67699193,0,0.896,3.4555,857.2,0.032666,0.60007,2.95,0.1408,87.91,530,18.64,24.6,4954,4.5,0.18,0.828,0.791,CONFIRMED
4.99677968,0,0.71,2.1717,934.7,0.030014,1.71827,2.78,0.0559,86.9,917,166.95,13.14,5339,4.552,0.18,0.847,0.931,CONFIRMED
4.280963604,0,0.424,2.875,750.8,0.025377,1.24482,2.3,0.0503,87.72,1012,247.87,10.64,5644,4.564,-0.14,0.831,0.928,CONFIRMED
1.50635409,0,0.86,1.5155,2211.7,0.049899,0.84722,4.53,0.025,79.38,1452,1054.12,4.67,5714,4.563,-0.2,0.831,0.926,FALSE POSITIVE
670.645531,0,0.701,53.412,18091,0.131705,0.02605,14.14,1.5155,89.53,196,0.35,85.24,5520,4.466,0.48,0.983,1.03,FALSE POSITIVE
61.2563628,0,1.248,7.633,5123.3,0.334628,0.12411,39.87,0.3137,87.54,505,15.43,29.1,6144,4.402,0,1.091,1.093,FALSE POSITIVE
38.3775486,0,0.468,5.588,724.2,0.024901,1.40588,2.82,0.2163,89.44,529,18.53,47.8,5481,4.369,0.16,1.036,0.915,CONFIRMED
41.19725502,0,0.045,4.6297,2213.9,0.041693,3.9471,3.86,0.217,89.96,439,8.76,70.75,5031,4.485,0.16,0.848,0.801,CONFIRMED
6.252962249,0,0.105,2.5819,1036.9,0.028604,3.28707,2.65,0.0617,89.68,823,108.3,18.94,5031,4.485,0.16,0.848,0.801,CONFIRMED
16.01308419,0,0.799,3.2554,1121.9,0.034369,1.10942,3.1,0.1148,88.14,593,29.31,24.7,5015,4.499,0.1,0.826,0.785,CONFIRMED
32.62876672,0,0.021,4.7971,1804.8,0.03852,2.79093,3.36,0.1889,89.98,506,15.55,53.95,5586,4.56,-0.3,0.798,0.844,CONFIRMED
91.7732862,0,0.606,6.473,652,0.02432,1.60558,2.12,0.3764,89.61,359,3.92,89.4,5586,4.56,-0.3,0.798,0.844,CONFIRMED
4.959319244,0,0.831,2.22739,9802,0.103379,1.46169,12.21,0.0565,86.15,1103,349.4,12.386,5712,4.359,0.1,1.082,0.976,CANDIDATE
2.701287801,0,1.016,3.3827,860.4,0.06584,0.02818,6.54,0.0365,62.69,1222,527.81,2.22,5550,4.468,-0.04,0.91,0.889,FALSE POSITIVE
4.49876511,0,0.312,3.7362,460,0.019817,0.67106,2.1,0.0542,88,1133,389.62,8.95,6075,4.486,-0.12,0.969,1.048,CONFIRMED
19.651209505,0,0.723,5.2514,11766,0.106953,0.67559,12.42,0.1433,88.27,730,67.03,23.98,6074,4.391,-0.12,1.063,1.014,FALSE POSITIVE
