u.mag,g.mag,r.mag,i.mag,z.mag,redshift,redshift.err,class
18.98457,18.32361,18.3941,18.29573,17.98425,2.382667,0.0001932302,QSO
20.20728,19.69109,19.52522,19.40495,19.36091,2.691162,0.0003248327,QSO
20.62134,19.59963,18.97886,18.5129,18.22396,2.211523,0.0002225747,QSO
21.6742,20.43149,20.30259,20.03483,19.70196,2.672302,0.0003289474,QSO
20.83732,20.47008,20.37494,20.33709,20.14541,2.204407,0.001358715,QSO
20.72933,20.17873,20.20135,20.22727,19.91502,2.382164,0.0007523837,QSO
19.23489,18.48206,18.36417,18.2537,17.98326,2.410913,0.0002432759,QSO
20.25225,19.748,19.65334,19.60035,19.55956,2.224993,0.000638642,QSO
18.55578,18.18345,18.22266,18.38168,18.54762,2.239408,0.0008621022,QSO
21.96496,19.66045,19.46499,19.12691,22.82658,2.243463,0.0003410878,QSO
21.29115,19.92203,19.75503,19.58565,19.09419,2.362019,0.0005595965,QSO
20.22997,19.66685,19.61497,19.5585,19.27706,2.306003,0.0008001283,QSO
22.67041,19.51974,19.23581,19.23177,19.21332,3.127423,0.0003726608,QSO
19.31578,18.88685,18.94055,18.92277,18.75969,2.37554,0.0003161909,QSO
22.52408,20.28012,19.98298,19.81676,19.7026,3.206618,0.0004437895,QSO
23.17908,20.64205,20.28827,19.92455,19.70965,3.115039,0.001009123,QSO
21.12613,19.24356,18.9906,18.85297,18.8003,2.970794,0.0004316996,QSO
23.57763,20.49684,19.31258,18.71462,18.46442,3.096372,0.0002589028,QSO
21.58197,20.1274,19.93818,19.55023,19.36553,2.996634,0.0002396644,QSO
20.05668,18.41753,18.18926,17.95744,17.85176,2.831994,0.0001569784,QSO
19.03408,18.64691,18.73681,18.55931,18.34096,2.200235,0.0001360605,QSO
19.22202,18.24091,18.00745,17.86639,17.63736,2.808491,0.0001587603,QSO
25.31532,19.7644,19.2628,19.02851,19.00571,3.21894,0.0003903019,QSO
19.09769,18.67713,18.50606,18.43954,18.2352,2.201656,0.000423513,QSO
21.30538,19.65738,19.34076,19.29935,19.20588,3.217435,0.0005005726,QSO
23.31828,20.51533,20.16866,20.08993,20.03733,3.249533,0.001262839,QSO
20.11035,18.93025,18.65751,18.5503,18.54671,2.93301,0.0006159797,QSO
21.00668,20.54016,20.24082,20.19652,20.06824,2.38359,0.002077975,QSO
19.48649,18.92154,18.81942,18.83094,18.66856,2.614942,0.0004068566,QSO
21.47511,17.65569,17.12137,17.08416,17.00065,3.424562,0.0001248505,QSO
20.42388,18.60961,18.48889,18.49626,18.40606,3.04513,0.000196545,QSO
19.09774,18.55507,18.40235,18.39639,18.23055,2.492378,0.0004243761,QSO
20.1712,19.23606,19.20714,19.1868,19.03219,2.787112,0.0001700648,QSO
21.85353,20.73464,20.09937,19.65685,19.10788,2.379648,0.001114942,QSO
19.84501,19.22651,18.96046,18.89886,18.68551,2.389035,0.0007325742,QSO
21.39487,18.72661,18.42677,18.38254,18.4192,3.049268,0.0003088074,QSO
22.04652,19.89621,19.63394,19.59379,19.54152,3.017059,0.0008846363,QSO
20.65999,19.19345,19.07117,18.97471,18.87138,3.081639,0.000399728,QSO
19.21612,18.67727,18.75031,18.69239,18.35357,2.296993,0.0002046555,QSO
21.74945,20.51955,19.98914,19.54894,19.19944,2.767985,0.001262043,QSO
19.22251,18.92076,18.87348,18.86448,18.72999,2.247465,0.0006255817,QSO
19.58098,19.23478,19.24549,19.12002,19.18,2.753311,0.000843937,QSO
21.06845,20.33665,20.24611,20.1542,19.9814,2.221201,0.0004520439,QSO
19.89934,19.33865,19.33241,19.26227,19.14619,2.315331,0.000298579,QSO
23.16244,18.83503,18.04358,17.88835,17.75627,3.429735,0.0001608465,QSO
20.05633,19.66667,19.63688,19.60818,19.34229,2.226407,0.0005938307,QSO
19.66714,19.22138,19.08283,19.1109,18.90322,2.232757,0.0006809073,QSO
21.55983,20.45433,19.9455,19.66266,19.2762,2.596543,0.001259683,QSO
20.32786,19.30177,19.04765,18.83566,18.43459,2.431707,0.0002257378,QSO
19.25409,18.67682,18.35251,18.16827,17.91228,2.523684,0.0002333941,QSO
23.12533,21.11848,20.51292,20.13341,19.53913,2.478659,0.0004288868,QSO
18.95129,18.35298,18.00319,17.88153,17.74548,2.288932,0.0004220162,QSO
19.08728,18.54048,18.52371,18.48511,18.29327,2.349289,0.0003544916,QSO
19.21357,18.70749,18.62034,18.56496,18.37781,2.304846,0.0003316837,QSO
20.49452,19.26237,19.11365,19.05963,18.85486,2.884405,0.0002856879,QSO
19.26106,17.75852,17.51884,17.37298,17.15216,2.832395,9.931343e-05,QSO
20.66885,19.85978,19.58413,19.51754,18.97788,2.609293,0.0003153861,QSO
19.10015,18.58965,18.60398,18.45899,18.21316,2.271902,0.0001515065,QSO
21.55186,20.19342,19.81362,19.53309,19.21801,2.822742,0.0003375822,QSO
19.81764,18.84088,18.64588,18.58631,18.37037,2.613248,0.0001467976,QSO
20.0348,19.38115,19.4269,19.18735,18.87677,2.223756,0.0004421529,QSO
20.53434,18.90007,18.67319,18.61382,18.60983,2.960663,0.0002460262,QSO
21.67806,20.30091,20.15747,20.08408,19.63976,2.361839,0.0003203074,QSO
22.02451,19.99964,19.73123,19.67951,19.61489,2.949967,0.0002779452,QSO
19.45379,18.92432,18.89542,18.86598,18.57889,2.312959,0.0001925222,QSO
22.12982,20.24143,19.94336,19.89648,19.83412,2.990767,0.0003894189,QSO
19.50373,19.08993,19.10609,19.16506,18.96128,2.366301,0.0003933691,QSO
20.37214,19.94652,19.87864,19.84475,19.62241,2.253939,0.0005906402,QSO
21.04205,20.25115,20.22046,20.12447,20.17547,2.315006,0.0008921218,QSO
20.59796,20.09201,20.12861,20.03848,19.77003,2.262331,0.0004806916,QSO
21.42775,19.83536,19.60093,19.50768,19.56375,3.224752,0.001636375,QSO
19.01961,18.38108,18.34667,18.36832,18.15322,2.53329,0.0001725673,QSO
23.7594,19.79552,19.16114,18.97192,18.81181,3.394027,0.0002170221,QSO
24.45511,20.75778,20.15398,19.56401,19.12115,2.916404,0.000706538,QSO
22.81344,21.16391,20.52385,20.08412,19.50346,2.778151,0.0005635951,QSO
19.76672,19.09939,18.899,18.90279,18.71286,2.490469,0.0002450043,QSO
22.09748,20.3584,20.12024,20.18017,20.03609,2.928018,0.0001887439,QSO
19.3905,18.86303,18.88282,18.97487,18.78782,2.496748,0.0002550688,QSO
20.72313,20.21453,20.24817,20.16691,19.92963,2.241838,0.0002701603,QSO
19.77432,19.43432,19.36478,19.37141,19.20616,2.230862,0.0004699542,QSO
22.89816,20.53958,20.0805,19.81942,19.74638,2.917986,0.0003437055,QSO
19.50321,18.95278,18.79941,18.54909,18.51163,2.304483,0.0004022353,QSO
22.26664,20.97817,20.58709,20.22658,19.69747,2.460392,0.0004107013,QSO
23.76494,19.50085,18.88053,18.46834,18.27745,3.280246,0.0002557217,QSO
21.25941,19.61577,19.34872,19.16375,19.07431,2.935622,0.0001634892,QSO
21.55878,19.58784,19.42996,19.30201,19.09232,3.025317,0.0002405233,QSO
21.49949,19.48557,19.29412,19.22093,19.0774,2.966944,0.0004998504,QSO
19.38422,18.9615,18.76587,18.74794,18.59948,2.808357,0.0007128423,QSO
19.36606,18.95465,18.86947,18.86953,18.70908,2.297603,0.00065007,QSO
21.01809,19.90899,19.55468,19.14652,18.95356,2.754289,0.0004205244,QSO
19.97227,19.36211,19.22322,19.16594,18.97383,2.249287,0.0005552488,QSO
19.93028,19.40006,19.32868,19.30707,19.04842,2.288086,0.00042568,QSO
19.95512,19.38101,19.26646,18.98964,18.7124,2.227948,0.0001891648,QSO
19.83352,19.28276,19.26051,19.12383,19.03512,2.269612,0.0002124502,QSO
19.93166,19.30665,19.35839,19.23035,19.00787,2.292278,0.000541834,QSO
19.71715,19.11138,18.78679,18.7413,18.57806,2.363262,0.0002376281,QSO
19.69885,19.21836,19.0785,19.05273,18.90327,2.334367,0.0005429814,QSO
22.08748,20.91966,20.37658,19.91814,19.54543,2.352449,0.0008508808,QSO
19.43692,18.88945,18.75317,18.54274,18.346,2.21112,0.000228941,QSO
21.86623,19.45447,19.13381,19.02515,18.95139,3.104018,0.0005194141,QSO
22.02029,21.52257,20.90482,20.4126,19.72353,2.504542,0.0007934372,QSO
21.69331,20.03825,19.75465,19.70864,19.63818,3.139767,0.0003967319,QSO
19.28599,18.73865,18.54519,18.55219,18.43336,2.436579,0.0004021944,QSO
19.96586,19.31112,19.1151,19.03075,18.80128,2.293501,0.0005891476,QSO
22.19158,20.21521,19.69401,19.60051,19.64203,3.398038,0.0004642212,QSO
21.45366,19.80865,19.66532,19.58795,19.40388,2.961977,0.0003964579,QSO
22.208,20.00195,19.69998,19.6251,19.60089,3.229939,0.000490005,QSO
19.6601,19.19165,19.17916,19.12881,18.95245,2.254498,0.0002697908,QSO
21.15967,18.83354,18.65467,18.65959,18.671,3.199029,0.0001408867,QSO
24.36394,18.70486,18.08887,17.97337,17.89105,3.348866,0.0006969223,QSO
19.95408,19.17614,18.71985,18.38555,17.96627,2.236598,0.0002424599,QSO
20.61922,20.2917,20.32914,20.33066,19.97054,2.451782,0.001453171,QSO
21.46297,20.3926,19.93311,19.72705,19.16018,2.399217,0.0007744002,QSO
20.15637,19.74687,19.75904,19.72137,19.74633,2.249576,0.0006343601,QSO
21.39717,19.53263,19.22062,19.21707,19.26089,3.213864,0.0003215714,QSO
19.26723,18.82065,18.69507,18.58177,18.31685,2.22808,0.0002431445,QSO
22.88209,20.93892,20.37517,19.95584,19.28868,2.546086,0.000446826,QSO
19.54827,18.82142,18.60443,18.45105,18.23858,2.623593,0.0003203778,QSO
20.02752,19.32295,19.20451,19.04207,18.74949,2.445235,0.0001051352,QSO
18.96229,18.47089,18.41027,18.22765,17.94499,2.237129,0.0002390624,QSO
20.21831,19.48995,19.47368,19.31375,19.05838,2.342134,0.0001774707,QSO
25.91439,20.09998,19.73928,19.54454,19.5302,3.390846,0.0001291803,QSO
21.97769,19.40484,19.06029,19.12741,19.02248,3.138414,0.0002086063,QSO
19.45519,18.89158,18.85121,18.893,18.6655,2.403858,0.0004119202,QSO
19.63404,19.02309,18.93698,18.82824,18.48131,2.44315,0.0001924342,QSO
21.17421,25.11426,24.80207,24.36167,20.31775,2.544038,0.0005709109,QSO
19.48092,18.93643,18.86575,18.90004,18.75183,2.418205,0.000354876,QSO
