ra,dec,flux_1_100_gev,detection_significance,spectrum_type,pivot_energy,energy_flux,pl_flux_density,pl_index,lp_flux_density,lp_index,lp_beta,plec_flux_density,plec_index,plec_exp_factor,plec_exp_index,plec_curve_significance,npred,variability_index,frac_variability,source_type
317.462083333333,-86.3077777777778,2.3493e-10,11.8092,PowerLaw,6631.98,2.9992e-12,6.5824e-15,1.7618,7.1165e-15,1.7121,0.043,7.1395e-15,1.5548,0.00041,0.6667,1.2,229.16,6.144351,0,NOT_BLL
156.764583333333,-85.7163888888889,9.8688e-10,30.3572,LogParabola,2427.35,9.9145e-12,1.5897e-13,1.866,1.7471e-13,1.7275,0.0814,1.676e-13,1.6145,0.00083,0.6667,3.24,823.65,2.332248,0,BLL
142.8175,-85.5625,4.02e-10,12.9807,PowerLaw,930.11,6.166e-12,7.4086e-13,2.5332,7.6828e-13,2.5268,0.0253,7.587e-13,2.4717,0.00061,0.6667,0.65,1119.08,67.630844,0.7329,NOT_BLL
83.2675,-84.7783333333333,1.4715e-10,4.8389,PowerLaw,2306.54,1.6953e-12,2.8178e-14,2.2136,3.0942e-14,2.2016,0.0583,3.0602e-14,2.0437,0.00111,0.6667,0.1,255.28,36.473316,1.0324,NOT_BLL
11.07125,-84.4016666666667,2.0398e-10,7.5118,PowerLaw,680.76,3.7304e-12,9.4383e-13,2.6623,9.4375e-13,2.6613,3e-04,9.545e-13,2.623,0.00039,0.6667,0.25,743.68,43.068356,0.7543,NOT_BLL
157.562083333333,-84.0572222222222,2.0652e-10,7.0287,PowerLaw,3163.45,2.3061e-12,2.0246e-14,2.1192,2.273e-14,2.0948,0.0774,2.2742e-14,1.8113,0.00137,0.6667,1.25,306.54,7.398232,0,NOT_BLL
244.774583333333,-83.7811111111111,1.5948e-10,5.4588,PowerLaw,1686.5,1.9604e-12,6.2702e-14,2.3173,7.0534e-14,2.2472,0.0877,6.5148e-14,2.2061,0.00064,0.6667,0.51,322.07,8.555676,0,BLL
218.977916666667,-83.8016666666667,3.4666e-10,10.8674,PowerLaw,772.61,5.4022e-12,1.0338e-12,2.5458,1.1374e-12,2.4899,0.0885,1.1379e-12,2.2017,0.00394,0.6667,1.86,982.49,57.00388,0.7702,NOT_BLL
330.37875,-83.6630555555556,1.5289e-09,35.9389,LogParabola,776.16,1.9518e-11,4.3594e-12,2.5544,5.005e-12,2.4913,0.1483,4.8843e-12,2.1652,0.00503,0.6667,5.68,3600.84,392.476807,0.7789,NOT_BLL
83.2454166666667,-83.4325,2.4751e-10,8.1916,PowerLaw,3619.67,2.7503e-12,1.8555e-14,2.0767,2.2031e-14,2.018,0.1156,2.1113e-14,1.7651,0.00122,0.6667,1.4,354.77,83.861504,1.6004,NOT_BLL
159.15,-83.3125,7.1917e-10,17.087,PLSuperExpCutoff,1786.94,3.9037e-12,1.8418e-13,2.1559,2.9569e-13,1.9373,0.5255,2.8368e-13,0.6039,0.01237,0.6667,6.74,606.91,1.835918,0,NOT_BLL
186.199166666667,-83.2258333333333,5.1338e-10,15.5345,PowerLaw,670.15,9.0798e-12,2.4201e-12,2.6392,2.6723e-12,2.6058,0.0771,2.5828e-12,2.4602,0.00227,0.6667,1.57,1634.57,26.211452,0.295,NOT_BLL
114.347083333333,-82.7866666666667,5.231e-10,16.7875,PowerLaw,2974.83,5.9126e-12,6.0002e-14,1.9575,6.6782e-14,1.8901,0.0663,6.5369e-14,1.7311,0.00082,0.6667,2.11,633.13,8.610312,0,NOT_BLL
344.63875,-82.7844444444444,5.5065e-10,15.6882,PowerLaw,2419.87,6.1489e-12,9.5251e-14,2.1191,1.1432e-13,2.0096,0.1535,1.102e-13,1.6737,0.00233,0.6667,2.8,811.02,30.073578,0.4365,NOT_BLL
226.377083333333,-82.6997222222222,2.4374e-10,9.4217,PowerLaw,3366.64,2.7154e-12,2.1607e-14,2.0191,2.3409e-14,1.9776,0.0492,2.3016e-14,1.8455,6e-04,0.6667,0.94,316.02,10.662381,0.1559,NOT_BLL
42.5733333333333,-82.4036111111111,3.3593e-10,13.9929,PowerLaw,594.07,6.0663e-12,2.2122e-12,2.6536,2.373e-12,2.6078,0.0621,2.3908e-12,2.3772,0.00363,0.6667,1.77,1260.42,105.218048,0.8295,NOT_BLL
4.8325,-81.8797222222222,6.1294e-10,19.4847,PowerLaw,1951.51,6.8366e-12,1.6703e-13,2.1124,1.7725e-13,2.0755,0.0411,1.7648e-13,1.9533,8e-04,0.6667,1.71,935.39,19.439966,0.2507,BLL
259.3825,-81.2386111111111,2.5473e-10,8.663,PowerLaw,2865.35,2.8409e-12,3.0842e-14,2.1118,3.1702e-14,2.0977,0.0147,3.1508e-14,2.0507,2e-04,0.6667,0.4,376.15,10.65308,0.2132,BLL
271.7475,-80.6427777777778,1.159e-10,4.2381,PowerLaw,4631.19,1.341e-12,5.7547e-15,1.9017,7.3903e-15,1.8122,0.1753,6.5786e-15,1.5683,0.00104,0.6667,1.07,131.05,7.879964,0,NOT_BLL
288.27,-80.1575,1.426e-09,31.6945,LogParabola,748.87,1.5502e-11,3.9126e-12,2.4531,4.4952e-12,2.3367,0.1433,4.3224e-12,2.0625,0.00439,0.6667,4.88,2746.07,355.872894,0.8663,NOT_BLL
164.66,-80.0638888888889,1.9524e-09,39.6203,LogParabola,968.94,1.6596e-11,2.3875e-12,2.2581,2.7688e-12,2.1201,0.1467,2.6387e-12,1.866,0.00348,0.6667,6.34,2652.42,485.415802,0.8058,BLL
234.439583333333,-79.9575,7.4293e-10,19.9052,PowerLaw,1619.55,8.715e-12,3.1455e-13,2.2478,3.261e-13,2.228,0.0267,3.2444e-13,2.1529,0.00055,0.6667,1.15,1297.03,31.375002,0.3424,NOT_BLL
36.0054166666667,-79.6933333333333,2.8617e-10,11.0929,PowerLaw,1838.83,3.3452e-12,9.0976e-14,2.2417,8.7411e-14,2.2633,-0.0246,9.1442e-14,2.2179,0.00011,0.6667,0.2,550.48,14.332768,0.2749,BLL
215.236666666667,-79.3494444444444,4.4087e-10,12.7042,PowerLaw,1106.54,6.2289e-12,5.0334e-13,2.464,5.5846e-13,2.39,0.1028,5.4921e-13,2.1321,0.00289,0.6667,2.06,1074.81,13.491735,0.1876,NOT_BLL
45.8408333333333,-79.2236111111111,2.7386e-10,9.9276,PowerLaw,955.37,3.8785e-12,4.4972e-13,2.4661,4.6932e-13,2.4382,0.0328,4.8056e-13,2.2413,0.00194,0.6667,1.16,759.29,26.011694,0.4728,NOT_BLL
215.883333333333,-78.4983333333333,3.503e-10,9.091,LogParabola,1086.51,2.7419e-12,3.5109e-13,2.4811,4.5336e-13,2.2776,0.3039,4.445e-13,1.4182,0.01039,0.6667,3.4,527.26,36.85078,0.6977,NOT_BLL
337.728333333333,-78.2594444444444,4.2785e-10,13.7246,PowerLaw,1417.96,5.1773e-12,2.4927e-13,2.2961,2.6044e-13,2.2707,0.0325,2.6075e-13,2.1651,9e-04,0.6667,0.98,848.37,27.826151,0.4615,NOT_BLL
182.057083333333,-78.18,2.3477e-10,7.6839,PowerLaw,3361.47,2.608e-12,2.0573e-14,2.0692,2.2717e-14,1.9635,0.0767,2.2525e-14,1.7575,0.00102,0.6667,1.18,310.52,3.294554,0,NOT_BLL
204.385833333333,-78.045,2.15e-10,6.8108,PowerLaw,2580.27,2.4285e-12,3.2321e-14,2.1641,3.6309e-14,2.0843,0.096,3.5747e-14,1.8132,0.00163,0.6667,1.26,331.46,2.222161,0,NOT_BLL
301.846666666667,-77.4780555555556,4.4269e-10,11.7851,LogParabola,893.37,3.3566e-12,6.8688e-13,2.4744,9.1801e-13,2.1592,0.3612,8.7011e-13,1.4226,0.01119,0.6667,3.98,664.85,64.37133,0.7917,NOT_BLL
228.60625,-77.3325,6.1284e-11,4.0582,PowerLaw,12578.42,8.6218e-13,6.3143e-16,1.6645,8.6873e-16,1.6351,0.1613,7.9359e-16,1.2508,0.00075,0.6667,1.13,56.48,10.614534,0,NOT_BLL
244.480416666667,-77.3038888888889,1.5352e-09,39.9276,LogParabola,593.51,2.3953e-11,9.5825e-12,2.6073,1.0843e-11,2.564,0.1122,1.0431e-11,2.3466,0.00386,0.6667,4.38,4477.67,361.51239,0.5612,NOT_BLL
250.772083333333,-77.2488888888889,1.6687e-10,5.3703,PowerLaw,1774.36,2.2695e-12,5.9282e-14,2.4287,5.5793e-14,2.4439,-0.0416,5.894e-14,2.4594,-0.00016,0.6667,0.2,387.18,7.066917,0,BLL
260.922083333333,-77.2375,2.9163e-09,57.4521,LogParabola,799.52,2.8193e-11,5.8679e-12,2.2879,6.4918e-12,2.1818,0.0986,6.2285e-12,2.0376,0.00233,0.6667,5.68,4566.18,865.147217,0.8507,NOT_BLL
113.611666666667,-77.1852777777778,9.9781e-10,23.2738,LogParabola,906.71,9.2095e-12,1.5017e-12,2.3201,1.6845e-12,2.1789,0.1199,1.6226e-12,1.9734,0.003,0.6667,3.53,1568.23,151.431763,0.6534,NOT_BLL
206.03625,-77.0136111111111,2.3551e-10,6.2776,PowerLaw,1210.17,3.3705e-12,2.1685e-13,2.4754,2.7214e-13,2.4926,0.1781,2.3617e-13,2.3015,0.0017,0.6667,0.71,571.25,3.895836,0,NOT_BLL
246.655416666667,-76.6502777777778,4.3331e-10,15.0752,PowerLaw,3273.78,4.8167e-12,4.0424e-14,2.0404,4.0436e-14,2.0375,0.0019,4.0057e-14,2.0547,-5e-05,0.6667,0.13,581.11,24.14045,0.4481,BLL
121.8175,-76.5088888888889,2.6192e-10,8.8404,PowerLaw,2183.96,2.9891e-12,5.656e-14,2.1922,6.2726e-14,2.1165,0.0825,6.0995e-14,1.9541,0.00115,0.6667,1.22,441.21,25.015673,0.6099,NOT_BLL
354.139583333333,-76.3755555555556,2.9737e-10,11.3021,PowerLaw,1705.39,3.45e-12,1.1152e-13,2.2276,1.1445e-13,2.2089,0.0187,1.1509e-13,2.1309,0.00052,0.6667,0.71,571.4,21.778418,0.4576,BLL
266.000416666667,-76.3152777777778,3.815e-09,58.6414,PLSuperExpCutoff,1272.67,1.9725e-11,2.01e-12,2.1656,3.1461e-12,1.8,0.6006,3.0141e-12,0.3243,0.01748,0.6667,20.17,3336.92,5.763754,0,NOT_BLL
223.957083333333,-76.0177777777778,1.9044e-10,7.3081,PowerLaw,4111.57,2.1437e-12,1.1528e-14,1.9707,1.3789e-14,1.872,0.1234,1.3258e-14,1.6154,0.00122,0.6667,1.31,241,6.46744,0,NOT_BLL
357.8325,-75.9863888888889,4.3185e-10,18.1585,PowerLaw,2983.37,4.9659e-12,4.9444e-14,1.9144,5.736e-14,1.7943,0.106,5.4147e-14,1.6609,9e-04,0.6667,2.07,541.72,19.697943,0.3261,BLL
326.826666666667,-75.6025,4.4723e-09,97.4077,LogParabola,489.2,5.6449e-11,3.646e-11,2.4409,3.8835e-11,2.3662,0.0674,3.7792e-11,2.2663,0.00222,0.6667,6.33,9850.11,2763.298096,0.7424,NOT_BLL
122.75125,-75.4983333333333,2.4535e-09,55.6739,LogParabola,1723.2,2.2995e-11,7.5962e-13,1.9303,8.2765e-13,1.8115,0.0762,7.979e-13,1.7118,0.00097,0.6667,4.78,2389.76,23.28405,0.1299,BLL
98.9020833333333,-75.3047222222222,6.4639e-10,25.923,PowerLaw,515.65,1.2521e-11,6.5767e-12,2.7009,6.7087e-12,2.6904,0.0165,6.6491e-12,2.6682,0.00046,0.6667,0.42,2530.55,448.183289,0.9662,NOT_BLL
18.205,-75.1025,3.2171e-10,13.7399,PowerLaw,2789.08,3.5817e-12,4.1685e-14,2.024,5.1611e-14,1.7887,0.2181,5.0207e-14,1.3006,0.00327,0.6667,2.97,469.86,8.235726,0,BLL
89.72375,-74.9919444444444,5.4924e-10,18.8853,PowerLaw,2237.63,6.1021e-12,1.1151e-13,2.0507,1.2259e-13,1.978,0.0688,1.2075e-13,1.8058,0.00112,0.6667,2.16,794.63,20.153486,0.2666,BLL
290.627916666667,-74.8875,3.9875e-10,16.0665,PowerLaw,3540.12,4.5827e-12,3.2892e-14,1.9157,3.5954e-14,1.8285,0.063,3.5557e-14,1.6765,0.00072,0.6667,1.74,484.21,24.535128,0.4077,NOT_BLL
262.152916666667,-74.8036111111111,2.397e-10,7.5985,LogParabola,804.72,2.3685e-12,5.5899e-13,2.6061,8.16e-13,2.4164,0.425,7.8803e-13,1.2804,0.0178,0.6667,3.28,507.32,40.626347,0.844,NOT_BLL
