ra,dec,redshift,umag,gmag,rmag,imag,zmag,nmag,gal_abs_u,log_nh_gal
8.64299583333333,-11.2158916666667,0.6363,19.506,19.152,19.195,18.983,18.802,20.708,0.149,20.396
2.53165416666667,-11.2063166666667,0.4694,19.683,19.483,19.489,19.263,18.886,20.038,0.176,20.436
0.334325,-11.1845055555556,1.4131,19.364,19.61,19.306,19.244,19.258,20.307,0.193,20.431
3.4197625,-11.183525,0.2543,18.1,18.102,17.843,17.726,17.434,18.26,0.193,20.441
5.81491666666667,-11.1833027777778,0.9774,19.734,19.332,19.015,19.064,18.948,20.816,0.195,20.48
3.70659583333333,-11.1777388888889,0.7717,19.893,19.582,19.28,19.049,18.819,19.936,0.194,20.441
2.87781666666667,-11.1768555555556,1.0743,20.167,19.651,19.202,19.219,19.382,21.103,0.178,20.43
5.51595833333333,-11.1708638888889,2.1414,19.869,19.773,19.79,19.49,19.269,21.075,0.182,20.487
2.09515833333333,-11.1696194444444,1.4451,19.74,19.608,19.48,19.407,19.615,20.405,0.166,20.425
9.20674166666667,-11.1582611111111,1.5113,19.07,18.916,18.724,18.509,18.694,19.367,0.143,20.384
0.938466666666667,-11.1384972222222,1.5698,20.162,19.972,19.624,19.362,19.433,21.293,0.187,20.43
2.36205,-11.1347722222222,0.4226,19.413,19.331,19.16,19.013,18.749,21.099,0.177,20.442
5.36919166666667,-11.1170916666667,1.077,18.716,18.551,18.27,18.293,18.406,19.173,0.202,20.48
1.23102916666667,-11.1105416666667,1.1183,19.129,18.882,18.501,18.586,18.529,19.321,0.175,20.439
2.66612083333333,-11.1039583333333,1.0752,20.103,19.738,19.346,19.265,19.252,20.989,0.184,20.438
3.66090833333333,-11.1006083333333,1.395,18.813,18.84,18.494,18.428,18.383,19.125,0.193,20.444
1.45750833333333,-11.0997333333333,2.3262,19.622,19.181,19.157,19.141,19.104,21.36,0.176,20.439
1.0811375,-11.0933361111111,1.2395,19.015,18.935,18.762,18.915,19.06,19.459,0.176,20.435
2.06473333333333,-11.0269722222222,1.362,19.436,19.383,19.094,19.066,19.086,20.051,0.18,20.431
1.97722083333333,-11.0094444444444,1.6761,19.548,19.426,19.324,19.102,19.204,19.825,0.182,20.435
9.33456666666667,-11.0066583333333,1.5757,18.837,18.644,18.508,18.316,18.327,19.377,0.139,20.387
2.8060875,-11.0065472222222,0.4953,20.196,20.008,20.12,19.912,19.775,20.074,0.201,20.439
359.718270833333,-10.9728333333333,1.9623,18.241,18.151,18.103,18.002,17.931,20.186,0.174,20.433
2.45459583333333,-10.969675,2.07,18.593,18.613,18.559,18.469,18.263,20.893,0.197,20.447
2.8573,-10.9529027777778,0.6407,20.651,19.871,19.594,19.032,18.77,20.695,0.203,20.441
4.42448333333333,-10.9370222222222,1.8061,19.211,18.983,18.791,18.644,18.637,20.298,0.201,20.474
9.076725,-10.9175166666667,0.4084,17.711,17.497,17.367,17.369,17.096,17.79,0.151,20.396
0.580595833333333,-10.8832305555556,1.762,22.033,21.199,20.677,19.986,20.045,22.717,0.205,20.423
0.295720833333333,-10.8798527777778,0.5283,17.995,17.655,17.639,17.485,17.516,18.073,0.183,20.439
9.48842916666667,-10.8690611111111,0.9721,19.229,19.125,18.956,19.03,18.926,19.157,0.139,20.391
8.75995833333333,-10.85645,0.7369,19.181,18.906,18.773,18.751,18.672,19.099,0.135,20.405
0.52275,-10.8269416666667,0.9299,18.134,17.927,17.82,17.921,17.781,18.293,0.197,20.423
1.19915416666667,-10.8153444444444,0.8845,19.542,19.046,18.983,19.035,18.937,18.962,0.193,20.446
358.204770833333,-10.8079055555556,1.5197,19.68,19.226,19.076,18.882,18.868,20.143,0.182,20.438
8.82034166666667,-10.792025,0.7969,19.393,19.143,19.04,19.004,18.886,19.441,0.136,20.405
0.266058333333333,-10.7750861111111,2.0808,18.717,18.513,18.408,18.145,17.955,20.555,0.185,20.441
350.343825,-10.7692305555556,1.7779,20.528,20.445,20.388,20.175,19.895,22.768,0.163,20.417
1.04502083333333,-10.7575361111111,0.2397,18.131,17.944,17.68,17.533,17.431,18.863,0.192,20.444
350.099795833333,-10.7554805555556,1.5688,19.705,19.498,19.342,19.087,18.999,20.379,0.145,20.42
9.39140833333333,-10.7552388888889,0.7275,19.527,19.053,19.059,19.067,18.847,19.573,0.146,20.398
349.352204166667,-10.7526333333333,0.7181,19.031,18.685,18.642,18.621,18.481,19.364,0.153,20.425
2.91015416666667,-10.7495222222222,1.2735,18.927,18.754,18.405,18.49,18.583,19.523,0.198,20.449
0.4304625,-10.7469138888889,1.3405,19.585,19.568,19.269,19.244,19.285,20.271,0.192,20.423
2.03727083333333,-10.7200861111111,1.4369,20.564,20.419,20.276,20.187,20.068,21.654,0.19,20.446
1.55132916666667,-10.7196194444444,1.7353,19.227,19.142,19.101,18.881,18.967,19.987,0.222,20.45
0.5865125,-10.7134777777778,1.0164,19.185,18.992,18.742,18.866,18.843,19.063,0.183,20.462
1.22740833333333,-10.7083666666667,1.1279,19.231,18.771,18.413,18.442,18.315,19.445,0.197,20.45
358.3095125,-10.6850638888889,1.2593,18.271,17.984,17.788,17.745,17.77,18.59,0.219,20.436
359.254066666667,-10.6737722222222,1.0386,19.067,18.873,18.689,18.828,18.922,19.669,0.161,20.427
359.952208333333,-10.6607027777778,0.8288,18.07,17.867,17.789,17.799,17.705,18.546,0.17,20.441
350.123983333333,-10.6408527777778,0.3082,18.641,18.492,18.322,18.313,17.794,19.306,0.145,20.42
2.1097625,-10.6405305555556,1.5748,19.511,19.493,19.487,19.205,19.227,20.849,0.175,20.449
0.415170833333333,-10.6400333333333,1.8206,19.722,19.723,19.653,19.284,19.441,21.93,0.197,20.462
4.09580416666667,-10.6380833333333,1.5122,19.516,19.342,19.175,18.968,18.889,20.277,0.2,20.465
1.02655,-10.6375555555556,1.2686,19.236,19.165,19.014,19.012,19.085,19.902,0.193,20.446
4.36892083333333,-10.6292722222222,1.2289,18.979,19.072,18.837,18.881,19.142,20.056,0.195,20.48
9.04692916666667,-10.6270861111111,1.671,18.965,18.538,18.402,18.195,18.114,19.672,0.141,20.408
2.9906625,-10.6264472222222,1.8577,18.729,18.702,18.784,18.457,18.352,21.123,0.207,20.453
358.012395833333,-10.6215,1.8654,19.593,19.599,19.568,19.261,19.112,21.007,0.179,20.441
8.7734,-10.5934361111111,2.2598,19.302,18.565,18.554,18.41,18.147,22.659,0.134,20.413
350.0385,-10.5896472222222,0.7276,18.9,18.385,18.382,18.53,18.342,18.647,0.145,20.422
2.26892083333333,-10.5746416666667,0.2408,17.838,17.808,17.801,17.567,17.621,18.638,0.173,20.459
359.267141666667,-10.572275,1.8024,18.553,18.502,18.44,18.15,18.093,20.16,0.159,20.428
359.680575,-10.5680083333333,1.2779,19.243,19.226,18.901,18.92,19.012,19.56,0.171,20.436
349.299345833333,-10.5639055555556,1.9973,17.7,17.663,17.599,17.456,17.318,19.427,0.154,20.428
3.39722916666667,-10.5626583333333,0.859,19.806,19.527,19.364,19.317,19.062,20.261,0.205,20.465
350.228670833333,-10.5612666666667,1.087,18.413,18.306,18.172,18.208,18.148,18.948,0.146,20.42
25.468225,-10.5562083333333,1.5679,18.881,18.629,18.591,18.381,18.429,19.407,0.119,20.387
0.148966666666667,-10.5514972222222,1.2177,19.404,19.455,19.045,19.006,19.181,19.908,0.181,20.444
359.660033333333,-10.5398333333333,1.3113,19.429,19.3,19.1,18.997,19.097,20.067,0.172,20.436
26.2896708333333,-10.5392555555556,2.0431,19.125,19.073,18.918,18.8,18.586,20.074,0.141,20.375
358.8905875,-10.5322222222222,0.3061,19.021,18.585,18.362,18.351,18.021,20.117,0.184,20.433
8.716425,-10.5311555555556,0.8101,19.222,18.969,18.921,19.06,18.91,19.076,0.141,20.418
2.58434166666667,-10.5164277777778,1.7425,19.879,19.63,19.359,19.033,18.982,22.281,0.176,20.462
3.81203333333333,-10.512125,1.1689,19.601,19.574,19.241,19.119,19.071,19.925,0.181,20.468
343.625908333333,-10.5097972222222,1.0757,19.666,19.406,19.051,18.989,19.096,20.238,0.231,20.573
4.26074583333333,-10.5068027777778,1.2834,19.343,19.316,18.975,18.876,18.769,19.917,0.205,20.476
359.32215,-10.4848222222222,1.0883,19.552,19.388,19.035,18.967,19.02,19.775,0.152,20.43
359.535266666667,-10.4786472222222,0.1693,18.048,17.876,17.74,17.419,17.371,18.287,0.176,20.435
0.0392708333333333,-10.4644277777778,1.8442,19.249,19.029,18.98,18.791,18.751,21.802,0.188,20.444
3.78948333333333,-10.4526138888889,1.1318,19.359,19.19,18.92,18.848,18.81,20.263,0.177,20.471
350.3295125,-10.4509722222222,0.976,19.391,19.27,19.114,19.21,19.226,19.719,0.139,20.42
343.281075,-10.4502194444444,0.9551,19.66,19.332,18.837,18.801,18.645,19.671,0.243,20.58
25.6361875,-10.4452555555556,1.2497,19.556,19.45,19.147,19.037,19.097,19.712,0.149,20.396
349.5359125,-10.4435194444444,1.1627,20.503,20.366,20.082,19.947,19.806,20.396,0.141,20.43
26.3494708333333,-10.4346305555556,1.5863,20.515,19.997,19.599,19.223,19.08,21.036,0.143,20.382
2.58819583333333,-10.4295,1.6067,20.561,20.228,20.002,19.713,19.696,21.99,0.193,20.465
9.22691666666667,-10.4283888888889,1.0589,18.617,18.454,18.219,18.32,18.424,18.651,0.154,20.413
0.349841666666667,-10.4161472222222,1.0575,18.524,18.435,18.223,18.29,18.214,18.985,0.234,20.462
25.1597875,-10.4091888888889,0.7929,19.043,18.816,18.814,18.905,18.695,18.903,0.124,20.413
28.4972,-10.4060277777778,0.6466,18.597,18.292,18.299,18.286,18.365,18.609,0.104,20.326
3.0759,-10.4005833333333,1.6002,19.595,19.296,19.307,19.156,19.157,20.573,0.183,20.464
2.87577083333333,-10.3982916666667,0.3376,19.432,19.323,19.025,18.957,18.453,20.129,0.185,20.465
28.7697375,-10.3912222222222,1.5481,17.753,17.457,17.355,17.151,17.164,18.646,0.105,20.314
0.259116666666667,-10.3908222222222,0.2943,18.984,18.69,18.326,18.24,17.66,19.082,0.216,20.449
3.100075,-10.3740277777778,0.2282,17.33,17.235,16.976,16.607,16.74,17.939,0.19,20.464
1.92469166666667,-10.3730916666667,1.2635,19.463,19.053,18.924,19.007,19.032,19.848,0.175,20.461
25.4982791666667,-10.3724305555556,1.9902,19.571,19.429,19.428,19.21,19.144,22.11,0.146,20.401
29.5955083333333,-10.3699027777778,1.8437,19.331,19.243,19.167,18.892,18.865,20.394,0.113,20.297
