ra,dec,st_pmra,st_pmdec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
112.357708,-12.69596,-5.964,-0.076,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.604,485.735,10249,4.19,2.16986,FP
122.580465,-5.513852,-4.956,-15.555,1.931671,3.18,1030,10.3168,42432.8,3998,9.42344,295.862,7070,4.03,2.01,PC
122.178195,-48.802811,-4.496,9.347,3.5775748,2.9347085,501.6028767,5.050111,8092.9691359,2419.0604472,9.1355,356.437,9219,4.14,2.1504,FP
112.752393,-4.463359,0.357,3.399,6.9989206,3.953,2840,14.7752,448.744,1282,8.87759,283.291,6596,3.71,2.7,PC
109.382839,13.395219,-17.9,1.3,2.04936,2.234,249.5,1.71607,2107.05,1887,8.9362,144.297,6858.5,4.2,0.99,FP
318.737012,-55.871863,12.641,-16.011,1.4303431,1.6377939,19976.6300235,13.5763676,1281.2728654,1525.9143484,12.4069,375.31,5600,4.48851,0.890774,CP
113.984761,-32.841999,145.102,-134.901,2.4696958,2.3244437,233.4371605,1.4549384,555.1966304,1238.0308162,8.2388,52.62,5413.7,4.46,0.941335,PC
117.095285,6.785064,-2.99,-0.029,0.884182,1.621,1890,24.8132,112144,5098,8.12718,295.959,8928,3.92,2.72,PC
116.110771,-36.098285,-9.231,11.614,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,10.6257,368.646,7601,4.31,1.53641,FP
124.726411,-37.78325,-11.278,9.593,1.10422,2.37,14177.7,21.0448,39459.3,3926,10.6019,406.997,6995.2,4.07,1.61,FP
111.716019,-50.266567,-8.018,11.56,4.95912,2.509,7440,22.9123,673.55,1419,10.6254,360.541,5889,3.86,2,FP
120.147994,-54.878552,-11.732,2.586,5.2340991,3.467,22880,23.5702,927.854,1537,10.6348,399.544,7645,4.3,1.56,PC
87.139821,-63.988329,-15.641,26.046,4.4119288,3.894,14790,15.2023,999.833,1566,9.7109,175.631,6280,4.32092,1.21,CP
119.30075,-42.999149,-3.211,-15.082,1.90879,1.909,618.482,3.34688,985.807,1561,10.5551,235.974,6022.6,4.52,1.22,FP
162.96491,-5.788708,-15.787,-11.849,3.09574,4.475,380,3.4262,18087.9,3230,8.72924,120.666,6084,4.13,1.41,PC
120.837688,-51.345626,-23.366,22.652,1.3238,3.162,3450,20.8516,13560.5,3006,9.697,316.398,5050.8,3.56,3.37,FP
125.434634,-51.759442,47.228,-6.325,14.2694372,6.9350494,1246.3921871,3.7255381,51.2588496,682.4360542,9.9138,105.677,5690,4.58,0.853898,FP
167.133275,-29.653135,-87.554,12.992,3.2834447,1.384,1220,2.69994,79.7847,832,10.2103,56.3449,4272,4.6,0.68,PC
167.133275,-29.653135,-87.554,12.992,11.0285857,3.164,1770,3.12111,53.4063,753,10.2103,56.3449,4272,4.6,0.68,PC
157.098337,-51.705409,30.65,-33.906,1.01606,2.843,240,1.20704,2784.04,2023,7.9059,23.7748,4634,4.64,0.68,FP
312.457488,-24.428694,10.426,15.62,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,11.5232,411.211,6351,4.22896,1.4,CP
155.831478,-57.590248,-26.184,22.489,12.12369,4.849,6142.77,9.25664,223.195,1076,9.5706,78.41273,4807.6,4.17,1.07,FP
140.88389,-67.026006,-23.901,3.03,5.6496834,2.5612882,1194.3338558,6.7892616,1226.2203257,1509.2524073,9.7318,270.771,6415.4,3.98,1.9220001,FP
159.221506,-42.541639,-15.15,6.437,5.664473,3.6459666,3449.5814551,14.3057012,7657.4773686,2385.8392559,9.7611,587.196,10395,4.13,2.3383701,PC
134.441752,-49.000578,-4.837,4.109,3.6344692,2.5339234,628.699015,4.2048368,5420.178349,2188.3820499,9.8174,363.44,9810,4.43,1.60776,FP
144.150273,-61.583182,-9.506,16.897,6.0749453,2.5945424,6048.0816542,29.1368995,1487.4019595,1583.8966377,10.1126,347.556,5964,3.7,2.4303801,PC
157.867112,-42.240448,10.992,-57.748,3.7795364,3.238,2340,6.10966,973.181,1556,10.2855,184.015,5771,4.31,1.18,PC
