ra,dec,gmag,umag,rmag,imag,zmag,pm_tot,class
303.416125,-13.1490555555556,19.79,20.12,19.43,18.33,17.57,0,NOT DA
170.320833333333,-12.3646944444444,20.15,19.79,20.65,21.16,20.88,0,NOT DA
302.496958333333,-11.9221944444444,18.49,18.24,18.8,19.09,19.35,0,NOT DA
302.151708333333,-11.7747777777778,16.56,16.31,16.86,17.13,17.37,0,NOT DA
301.03225,-11.6917777777778,19.32,19.01,19.68,20,20.51,0,DA
170.117541666667,-11.6681944444444,19.2,19.23,19.47,21.22,22.83,0,NOT DA
302.0645,-11.0177777777778,16.88,16.65,17.17,17.42,17.65,12.6,NOT DA
7.05570833333333,-10.7096944444444,20.4,21.28,20.38,20.48,20.42,0,DA
9.37416666666667,-10.2251944444444,19.68,20.84,19.62,19.7,19.84,0,DA
17.6642083333333,-10.0531944444444,19.06,19.44,18.92,18.91,18.94,87.4,DA
351.481583333333,-9.96572222222222,20.34,21.18,20.22,20.2,20.35,0,DA
4.68479166666667,-9.64863888888889,18.63,18.92,18.91,19.15,19.41,0,NOT DA
209.165666666667,-9.33913888888889,17.39,17.82,17.31,17.4,17.53,125.5,DA
35.24075,-9.23836111111111,20.32,20.79,20.27,20.37,20.26,0,DA
23.98675,-9.18430555555556,19.18,20.35,19.24,19.37,19.51,0,DA
332.184125,-8.98263888888889,16.89,16.61,17.3,17.64,17.99,36.1,DA
346.031375,-8.94088888888889,16.14,16.68,16.41,16.64,16.77,0,NOT DA
15.8312916666667,-8.83111111111111,20.37,21.58,20.42,20.57,20.29,0,DA
35.4237083333333,-8.78463888888889,19.64,20.03,19.37,19.28,18.86,0,NOT DA
33.5818333333333,-8.7515,19.21,19.15,19.57,19.68,19.87,0,NOT DA
31.3302083333333,-8.65219444444445,17.22,17.39,17.52,17.74,18.03,32.6,DA
344.873875,-8.47297222222222,18.93,19.74,18.58,18.45,18.41,145.7,DA
210.328333333333,-8.28961111111111,16.55,17.59,16.62,16.73,16.81,74,DA
47.9917083333333,-7.66236111111111,20.36,21.56,20.38,20.41,20.5,0,DA
39.3808333333333,-7.62855555555556,21.38,22.2,21.38,21.5,21.88,0,DA
37.932125,-7.55947222222222,20.83,21.4,20.67,20.73,20.58,30.5,DA
38.9346666666667,-7.51647222222222,20.74,21.08,20.57,20.5,20.54,48.1,DA
47.7515833333333,-7.38027777777778,20.46,21.54,20.46,20.56,20.86,0,DA
37.0062083333333,-7.31938888888889,21.14,21.8,21.14,21.18,21.31,0,DA
38.0592083333333,-7.27711111111111,19.13,18.83,19.53,19.79,20.05,8.9,NOT DA
37.8834583333333,-7.26036111111111,21.29,21.83,21.23,21.2,21.24,195.1,DA
123.266833333333,-7.21847222222222,18.29,18,18.62,18.91,19.21,0,NOT DA
39.9508333333333,-6.87311111111111,18.88,19.35,18.75,18.73,18.87,44,DA
310.993958333333,-6.84052777777778,18.18,17.85,18.61,18.97,19.23,0,NOT DA
36.333375,-6.77002777777778,21.28,21.29,21.48,21.72,21.11,0,DA
54.2690833333333,-6.62363888888889,20.12,21.32,20.18,20.33,20.36,0,DA
38.8858333333333,-6.57716666666667,18.36,17.94,18.81,19.15,19.42,0,NOT DA
37.62875,-6.45194444444444,21.48,21.9,21.36,21.43,21.52,0,DA
38.4348333333333,-6.42108333333333,17.87,17.52,18.33,18.68,18.95,28.4,NOT DA
36.2596666666667,-6.41177777777778,19.89,20.61,19.79,19.82,19.89,8.9,DA
56.2520833333333,-6.19077777777778,19.12,20.15,18.8,18.65,18.65,0,DA
34.3017916666667,-6.14855555555556,20.02,20.71,19.86,19.78,19.59,0,DA
38.6655416666667,-6.14397222222222,19.23,18.92,19.68,20.07,20.55,26,DA
38.9299166666667,-5.91169444444444,17.76,17.95,18.09,18.35,18.63,53.7,DA
54.11475,-5.88455555555556,20.29,21.22,20.34,20.36,20.4,17.9,DA
39.9943333333333,-5.58152777777778,18.7,18.77,19.06,19.38,19.61,36,DA
33.299,-5.01738888888889,19.95,20.42,19.54,19.2,18.87,0,NOT DA
38.1231666666667,-4.87102777777778,19.25,19.9,19.01,18.95,18.98,24.1,DA
35.421,-4.75202777777778,21.4,21.98,21.32,21.47,21.84,0,NOT DA
36.7299166666667,-4.73938888888889,21.56,22.09,21.44,21.47,21.85,0,NOT DA
39.1519583333333,-4.66263888888889,21.24,21.71,21.23,21.2,21.66,0,DA
73.928125,-4.41363888888889,19.6,24.64,19.57,19.24,22.83,0,DA
38.2492916666667,-4.30797222222222,21.21,21.82,21.18,21.26,21.78,0,DA
39.55825,-3.90491666666667,19.84,20.3,19.69,19.66,19.63,11.3,DA
36.5555,-3.79680555555556,20.45,20.81,20.31,20.37,20.08,0,DA
35.0989166666667,-3.67772222222222,19.7,20.29,19.83,19.91,19.65,53,DA
204.128666666667,-3.54163888888889,20.93,21.34,20.71,20.81,20.7,0,DA
200.815625,-3.52544444444444,19.02,19.17,19.1,19.24,19.49,82.5,NOT DA
38.32225,-3.51947222222222,21.82,22.54,21.84,22.03,21.62,0,DA
355.509375,-3.47822222222222,19.45,19.93,19.57,19.35,19.02,21.3,DA
11.9970833333333,-3.44491666666667,21.6,22.24,21.63,21.91,21.46,0,DA
21.467,-3.44161111111111,21.45,22.43,21.33,21.51,21.46,0,DA
198.749291666667,-3.42511111111111,18.85,19.02,18.9,19.03,19.15,100.1,NOT DA
336.553666666667,-3.42119444444444,19.56,20.02,19.66,19.64,19.29,20,DA
359.405708333333,-3.40244444444444,19.19,19.51,19.21,19.37,19.54,47.5,NOT DA
36.1791666666667,-3.39644444444444,21.25,21.9,21.25,21.45,21.25,0,DA
31.667625,-3.37691666666667,19.21,19.66,19.08,19.1,19.09,94.8,NOT DA
317.4785,-3.36277777777778,21.21,21.73,21.19,21.45,20.73,0,DA
19.8795833333333,-3.35225,21.22,21.65,21.13,21.05,21.31,0,DA
359.105,-3.33905555555556,21.55,22.05,21.56,21.62,21.63,0,NOT DA
349.696791666667,-3.33697222222222,21.18,21.79,20.96,21.03,21.88,0,NOT DA
357.86775,-3.31808333333333,21.59,24.01,21.72,21.67,21.13,0,DA
318.52775,-3.31288888888889,18.55,19.09,18.47,18.44,18.48,0,DA
351.432458333333,-3.30866666666667,18.51,18.93,18.41,18.39,18.39,82,DA
317.6395,-3.29625,19.72,20.34,19.07,18.95,18.94,0,DA
211.595083333333,-3.29547222222222,17.64,17.83,17.71,17.82,17.97,51.9,NOT DA
341.28225,-3.29305555555556,21.46,21.94,21.36,21.61,21.27,0,DA
350.128208333333,-3.29025,20.61,21.27,20.59,20.06,19.47,0,DA
358.401416666667,-3.27816666666667,22.17,22.71,22.3,22.29,22.82,0,DA
198.70675,-3.27680555555556,21.18,21.51,21.18,21.26,20.84,0,DA
358.746916666667,-3.27486111111111,19.77,20.24,19.64,19.71,19.68,38.2,DA
42.3457083333333,-3.271,22.06,22.58,22.12,22.24,22.04,0,DA
43.49525,-3.23769444444444,18.98,19.16,19.18,18.77,18.26,16,DA
348.418041666667,-3.22180555555556,21.26,22.17,21.33,21.46,21.35,0,DA
349.446166666667,-3.21308333333333,21.61,22.33,21.69,21.95,21.46,0,DA
325.226791666667,-3.18727777777778,18.95,19.52,18.76,18.73,18.83,108.2,NOT DA
1.26045833333333,-3.16994444444444,17.69,17.76,17.99,18.27,18.56,13.4,DA
351.582208333333,-3.14419444444444,21.97,23.74,22.06,22.23,21.52,0,DA
4.04779166666667,-3.13519444444444,20.42,20.9,20.37,20.28,20.23,0,DA
44.3754583333333,-3.11652777777778,21.77,22.37,21.56,21.87,22.09,0,DA
214.146166666667,-3.11186111111111,21.3,22.19,21.32,21.23,21.44,0,DA
217.410416666667,-3.10677777777778,21.75,22.55,21.75,21.76,21.48,0,DA
352.048083333333,-3.10344444444444,19.79,20.28,19.69,19.69,19.61,58.8,DA
35.4714166666667,-3.0955,20.27,20.8,20.23,20.29,20.36,0,DA
190.668875,-3.09416666666667,20.5,20.8,20.38,20.46,20.4,0,DA
18.914875,-3.09225,20.96,21.4,21.03,20.99,20.67,0,DA
16.6963333333333,-3.09066666666667,20.77,21.43,20.79,20.8,20.66,0,DA
6.20433333333333,-3.08819444444444,19.45,19.78,19.5,19.59,19.52,39.4,DA
23.8425833333333,-3.07788888888889,21.24,21.81,21.05,21.07,20.73,0,DA
154.888083333333,-3.07041666666667,20.93,21.28,20.87,20.83,20.61,0,DA
162.940083333333,-3.06647222222222,21.23,21.83,21.02,21.19,21.48,0,NOT DA
157.62875,-3.063,19.21,19.07,19.61,19.9,20.28,0,DA
216.349375,-3.059,18.75,19.09,18.91,19.1,19.33,56.5,DA
184.484583333333,-3.0575,21.6,22.04,21.64,21.48,21.17,0,DA
165.726041666667,-3.04225,19.81,20.21,19.7,19.71,19.88,58.1,NOT DA
345.066541666667,-3.03605555555556,21.68,22.58,21.59,21.04,20.22,0,DA
2.140625,-3.03386111111111,22.05,22.65,22.12,22.06,22.19,0,DA
